,base,clouds,cod,coord,dt,id,main,name,rain,sys,visibility,weather,wind
0,stations,{'all': 0},200,"{'lon': 115.35, 'lat': -33.64}",1529193270,2075265,"{'temp': 62.23, 'pressure': 1028.73, 'humidity': 100, 'temp_min': 62.23, 'temp_max': 62.23, 'sea_level': 1029.95, 'grnd_level': 1028.73}",Busselton,,"{'message': 0.0045, 'country': 'AU', 'sunrise': 1529104902, 'sunset': 1529140629}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 22.17, 'deg': 17.5013}"
1,stations,{'all': 68},200,"{'lon': 63.78, 'lat': 67.55}",1529193452,1486910,"{'temp': 39.46, 'pressure': 1009.04, 'humidity': 90, 'temp_min': 39.46, 'temp_max': 39.46, 'sea_level': 1029.71, 'grnd_level': 1009.04}",Komsomolskiy,,"{'message': 0.0042, 'country': 'RU', 'sunrise': 0, 'sunset': 0}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 13.22, 'deg': 32.0013}"
2,stations,{'all': 76},200,"{'lon': 172.79, 'lat': 3.07}",1529193397,2110227,"{'temp': 83.56, 'pressure': 1024.6, 'humidity': 100, 'temp_min': 83.56, 'temp_max': 83.56, 'sea_level': 1024.64, 'grnd_level': 1024.6}",Butaritari,,"{'message': 0.0035, 'country': 'KI', 'sunrise': 1529086839, 'sunset': 1529131119}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 4.05, 'deg': 353.001}"
3,stations,{'all': 40},200,"{'lon': 147.06, 'lat': -42.78}",1529190000,2155415,"{'temp': 51.8, 'pressure': 1011, 'humidity': 81, 'temp_min': 51.8, 'temp_max': 51.8}",New Norfolk,,"{'type': 1, 'id': 8195, 'message': 0.0031, 'country': 'AU', 'sunrise': 1529098886, 'sunset': 1529131421}",10000.0,"[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09n'}]","{'speed': 14.99, 'deg': 200}"
4,stations,{'all': 75},200,"{'lon': -90.35, 'lat': -0.74}",1529190000,3652764,"{'temp': 77, 'pressure': 1011, 'humidity': 69, 'temp_min': 77, 'temp_max': 77}",Puerto Ayora,,"{'type': 1, 'id': 4355, 'message': 0.0042, 'country': 'EC', 'sunrise': 1529150398, 'sunset': 1529193886}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 16.11, 'deg': 130}"
5,stations,{'all': 40},200,"{'lon': 147.33, 'lat': -42.88}",1529190000,2163355,"{'temp': 51.8, 'pressure': 1011, 'humidity': 81, 'temp_min': 51.8, 'temp_max': 51.8}",Hobart,,"{'type': 1, 'id': 8195, 'message': 0.0039, 'country': 'AU', 'sunrise': 1529098841, 'sunset': 1529131336}",10000.0,"[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09n'}]","{'speed': 14.99, 'deg': 200}"
6,stations,{'all': 0},200,"{'lon': 15.16, 'lat': -26.65}",1529193484,3355672,"{'temp': 51.52, 'pressure': 1016.49, 'humidity': 88, 'temp_min': 51.52, 'temp_max': 51.52, 'sea_level': 1031.2, 'grnd_level': 1016.49}",Luderitz,,"{'message': 0.0036, 'country': 'NA', 'sunrise': 1529127971, 'sunset': 1529165659}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 2.71, 'deg': 100.001}"
7,stations,{'all': 0},200,"{'lon': -55.75, 'lat': -15.46}",1529190000,3466307,"{'temp': 66.2, 'pressure': 1022, 'humidity': 68, 'temp_min': 66.2, 'temp_max': 66.2}",Chapada dos Guimaraes,,"{'type': 1, 'id': 4484, 'message': 0.0052, 'country': 'BR', 'sunrise': 1529143655, 'sunset': 1529184018}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 6.93, 'deg': 160}"
8,stations,{'all': 1},200,"{'lon': -104.69, 'lat': 40.38}",1529192160,5576909,"{'temp': 76.57, 'pressure': 1007, 'humidity': 41, 'temp_min': 69.8, 'temp_max': 80.6}",Evans,,"{'type': 1, 'id': 606, 'message': 0.0043, 'country': 'US', 'sunrise': 1529148493, 'sunset': 1529202679}",16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 3.36, 'deg': 20}"
9,stations,{'all': 0},200,"{'lon': 47.05, 'lat': 45.92}",1529193485,463655,"{'temp': 71.23, 'pressure': 1025.08, 'humidity': 31, 'temp_min': 71.23, 'temp_max': 71.23, 'sea_level': 1023.26, 'grnd_level': 1025.08}",Zenzeli,,"{'message': 0.0033, 'country': 'RU', 'sunrise': 1529110845, 'sunset': 1529167484}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 17.47, 'deg': 44.0013}"
10,stations,{'all': 75},200,"{'lon': 15.64, 'lat': 78.22}",1529189400,2729907,"{'temp': 46.4, 'pressure': 994, 'humidity': 70, 'temp_min': 46.4, 'temp_max': 46.4}",Longyearbyen,,"{'type': 1, 'id': 5326, 'message': 0.0056, 'country': 'SJ', 'sunrise': 0, 'sunset': 0}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 23.04, 'deg': 110}"
11,stations,{'all': 90},200,"{'lon': -120.46, 'lat': 34.64}",1529192280,5367788,"{'temp': 64.04, 'pressure': 1011, 'humidity': 77, 'temp_min': 59, 'temp_max': 69.8}",Lompoc,,"{'type': 1, 'id': 507, 'message': 0.0128, 'country': 'US', 'sunrise': 1529153316, 'sunset': 1529205426}",12874.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 12.75, 'deg': 260}"
12,stations,{'all': 0},200,"{'lon': -173.23, 'lat': 64.42}",1529193412,4031574,"{'temp': 37.03, 'pressure': 1020.38, 'humidity': 100, 'temp_min': 37.03, 'temp_max': 37.03, 'sea_level': 1026.58, 'grnd_level': 1020.38}",Provideniya,,"{'message': 0.0037, 'country': 'RU', 'sunrise': 1529153620, 'sunset': 1529230490}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 5.5, 'deg': 8.00128}"
13,stations,{'all': 8},200,"{'lon': -66.82, 'lat': -20.46}",1529193486,3901903,"{'temp': 38.29, 'pressure': 649.94, 'humidity': 44, 'temp_min': 38.29, 'temp_max': 38.29, 'sea_level': 1035.42, 'grnd_level': 649.94}",Uyuni,,"{'message': 0.0031, 'country': 'BO', 'sunrise': 1529146884, 'sunset': 1529186103}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]","{'speed': 7.63, 'deg': 284.001}"
14,stations,{'all': 20},200,"{'lon': -70.91, 'lat': -53.16}",1529190000,3874787,"{'temp': 39.2, 'pressure': 996, 'humidity': 97, 'temp_min': 39.2, 'temp_max': 39.2}",Punta Arenas,,"{'type': 1, 'id': 4642, 'message': 0.0038, 'country': 'CL', 'sunrise': 1529153894, 'sunset': 1529181054}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 12.75, 'deg': 260}"
15,stations,{'all': 75},200,"{'lon': -135.9, 'lat': 63.59}",1529190000,6068416,"{'temp': 69.8, 'pressure': 1007, 'humidity': 37, 'temp_min': 69.8, 'temp_max': 69.8}",Mayo,,"{'type': 1, 'id': 3955, 'message': 0.0061, 'country': 'CA', 'sunrise': 1529145874, 'sunset': 1529220306}",32186.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'speed': 2.24}
16,stations,{'all': 20},200,"{'lon': -175.2, 'lat': -21.2}",1529190000,4032243,"{'temp': 75.2, 'pressure': 1017, 'humidity': 64, 'temp_min': 75.2, 'temp_max': 75.2}",Vaini,,"{'type': 1, 'id': 8323, 'message': 0.0036, 'country': 'TO', 'sunrise': 1529172987, 'sunset': 1529212030}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 11.41, 'deg': 140}"
17,stations,{'all': 8},200,"{'lon': 35.48, 'lat': 61.02}",1529193489,471160,"{'temp': 53.59, 'pressure': 1027.11, 'humidity': 76, 'temp_min': 53.59, 'temp_max': 53.59, 'sea_level': 1033.23, 'grnd_level': 1027.11}",Voznesenye,,"{'message': 0.0051, 'country': 'RU', 'sunrise': 1529107284, 'sunset': 1529176613}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]","{'speed': 5.17, 'deg': 183.501}"
18,stations,{'all': 44},200,"{'lon': 86.03, 'lat': 44.3}",1529193490,1529195,"{'temp': 67.99, 'pressure': 962.43, 'humidity': 53, 'temp_min': 67.99, 'temp_max': 67.99, 'sea_level': 1020.06, 'grnd_level': 962.43}",Shihezi,,"{'message': 0.0335, 'country': 'CN', 'sunrise': 1529101878, 'sunset': 1529157737}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 3.49, 'deg': 193.001}"
19,stations,{'all': 0},200,"{'lon': 170.27, 'lat': 69.7}",1529193490,2122090,"{'temp': 45.4, 'pressure': 1014.47, 'humidity': 72, 'temp_min': 45.4, 'temp_max': 45.4, 'sea_level': 1021.84, 'grnd_level': 1014.47}",Pevek,,"{'message': 0.0088, 'country': 'RU', 'sunrise': 0, 'sunset': 0}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 5.5, 'deg': 50.0013}"
20,stations,{'all': 1},200,"{'lon': -94.76, 'lat': 39.95}",1529189580,4407665,"{'temp': 93.2, 'pressure': 1010, 'humidity': 41, 'temp_min': 93.2, 'temp_max': 93.2}",Kodiak,,"{'type': 1, 'id': 1664, 'message': 0.0042, 'country': 'US', 'sunrise': 1529146195, 'sunset': 1529200211}",16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 17.22, 'deg': 180, 'gust': 12.3}"
21,stations,{'all': 0},200,"{'lon': -14.42, 'lat': -7.93}",1529193436,2411397,"{'temp': 77.98, 'pressure': 1030.92, 'humidity': 100, 'temp_min': 77.98, 'temp_max': 77.98, 'sea_level': 1031.04, 'grnd_level': 1030.92}",Georgetown,,"{'message': 0.0034, 'country': 'SH', 'sunrise': 1529132921, 'sunset': 1529174911}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 17.69, 'deg': 134.501}"
22,stations,{'all': 40},200,"{'lon': 13.24, 'lat': 38.17}",1529191200,2525392,"{'temp': 71.6, 'pressure': 1013, 'humidity': 83, 'temp_min': 71.6, 'temp_max': 71.6}",Capaci,,"{'type': 1, 'id': 5766, 'message': 0.004, 'country': 'IT', 'sunrise': 1529120611, 'sunset': 1529173947}",10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 12.75, 'deg': 320}"
23,stations,{'all': 32},200,"{'lon': -39.92, 'lat': -2.92}",1529193491,3393692,"{'temp': 78.34, 'pressure': 1024.19, 'humidity': 85, 'temp_min': 78.34, 'temp_max': 78.34, 'sea_level': 1029.95, 'grnd_level': 1024.19}",Itarema,,"{'message': 0.0031, 'country': 'BR', 'sunrise': 1529138519, 'sunset': 1529181555}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 13.67, 'deg': 87.0013}"
24,stations,{'all': 44},200,"{'lon': 128.87, 'lat': 71.64}",1529193494,2015306,"{'temp': 34.87, 'pressure': 1011.96, 'humidity': 94, 'temp_min': 34.87, 'temp_max': 34.87, 'sea_level': 1029.18, 'grnd_level': 1011.96}",Tiksi,,"{'message': 0.0038, 'country': 'RU', 'sunrise': 0, 'sunset': 0}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 4.16, 'deg': 39.5013}"
25,stations,{'all': 20},200,"{'lon': 30.79, 'lat': 59.7}",1529190000,546105,"{'temp': 64.4, 'pressure': 1018, 'humidity': 55, 'temp_min': 64.4, 'temp_max': 64.4}",Nikolskoye,,"{'type': 1, 'id': 7267, 'message': 0.0032, 'country': 'RU', 'sunrise': 1529109356, 'sunset': 1529176788}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 6.62, 'deg': 208.501}"
26,stations,{'all': 1},200,"{'lon': -90.4, 'lat': 39.51}",1529192100,4252975,"{'temp': 91.71, 'pressure': 1014, 'humidity': 55, 'temp_min': 89.6, 'temp_max': 95}",Barrow,,"{'type': 1, 'id': 978, 'message': 0.0041, 'country': 'US', 'sunrise': 1529145234, 'sunset': 1529199078}",16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 9.17, 'deg': 140}"
27,stations,{'all': 40},200,"{'lon': -68.31, 'lat': -54.81}",1529190000,3833367,"{'temp': 42.8, 'pressure': 989, 'humidity': 45, 'temp_min': 42.8, 'temp_max': 42.8}",Ushuaia,,"{'type': 1, 'id': 4754, 'message': 0.0053, 'country': 'AR', 'sunrise': 1529153854, 'sunset': 1529179845}",10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 26.4, 'deg': 230, 'gust': 24.7}"
28,stations,{'all': 75},200,"{'lon': 54.1, 'lat': 17.01}",1529189400,286621,"{'temp': 82.4, 'pressure': 1004, 'humidity': 88, 'temp_min': 82.4, 'temp_max': 82.4}",Salalah,,"{'type': 1, 'id': 7115, 'message': 0.004, 'country': 'OM', 'sunrise': 1529113812, 'sunset': 1529161127}",7000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 6.93, 'deg': 170}"
29,stations,{'all': 1},200,"{'lon': -117.67, 'lat': 35.62}",1529189760,5387494,"{'temp': 91.4, 'pressure': 1001, 'humidity': 13, 'temp_min': 91.4, 'temp_max': 91.4}",Ridgecrest,,"{'type': 1, 'id': 371, 'message': 0.0033, 'country': 'US', 'sunrise': 1529152482, 'sunset': 1529204921}",16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 32.21, 'deg': 190, 'gust': 19}"
30,stations,{'all': 75},200,"{'lon': -133.03, 'lat': 69.44}",1529190000,6170031,"{'temp': 38.1, 'pressure': 1009, 'humidity': 69, 'temp_min': 37.4, 'temp_max': 39.2}",Tuktoyaktuk,,"{'type': 1, 'id': 3555, 'message': 0.0036, 'country': 'CA', 'sunrise': 0, 'sunset': 0}",24140.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 3.36, 'deg': 310}"
31,stations,{'all': 32},200,"{'lon': -139.03, 'lat': -9.8}",1529193430,4020109,"{'temp': 79.69, 'pressure': 1023.95, 'humidity': 100, 'temp_min': 79.69, 'temp_max': 79.69, 'sea_level': 1024.07, 'grnd_level': 1023.95}",Atuona,{'3h': 0.175},"{'message': 0.0032, 'country': 'PF', 'sunrise': 1529163031, 'sunset': 1529204623}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 12.55, 'deg': 68.0013}"
32,stations,{'all': 20},200,"{'lon': -53.31, 'lat': -24.8}",1529193495,3465536,"{'temp': 51.43, 'pressure': 981.4, 'humidity': 89, 'temp_min': 51.43, 'temp_max': 51.43, 'sea_level': 1039.15, 'grnd_level': 981.4}",Corbelia,,"{'message': 0.0034, 'country': 'BR', 'sunrise': 1529144169, 'sunset': 1529182331}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 2.59, 'deg': 215.001}"
